target,imp
Keratin17,0.01980682201331809
CD45RO,-0.007030339028753269
MPO,-0.0012779120587986413
Lag3,0.0031829450814293016
CD31,-0.0026296291655584993
H3K9ac,-0.0019977058832235744
CD45,-0.008927389347231236
CSF.1R,0.0018790936478201867
Ki67,-0.00881837050203434
CD68,0.002366144067236381
CD16,-0.01278156023928489
p53,-0.002994190145947164
HLA.DR,-0.012739198906606953
CD56,2.8083866751037916e-4
EGFR,-0.0039060926591045174
CD63,-0.005215901171811576
Pan.Keratin,-0.015415644485218444
IDO,0.011029186996290841
CD8,-0.004428642170342432
H3K27me3,-0.00606498495537117
PD1,0.015021148420435294
CD163,-0.0017275180599290389
PD.L1,-0.03290683142267502
phospho.S6,0.014222379852968146
CD11b,0.005092390705358572
Beta.catenin,0.018644154035987917
CD138,0.013865910058335434
FoxP3,-0.030244815724531717
CD20,0.00541641005460727
CD11c,0.015671148069168535
CD4,7.709141816695115e-4
CD209,-0.004191890577813456
HLA_Class_1,0.006994274742424594
Keratin6,-0.003965090184463255
CD3,0.0066799123220633
