target,imp
CD45RO,0.34247060388738004
Keratin6,-0.021934573670784642
HLA.DR,0.04337673982524483
p53,-0.005805315776260101
Pan.Keratin,0.026632172791497842
CD20,-1.1731126622821566
H3K27me3,0.055850027184338145
CD56,7.606877361162401e-5
CD63,0.0365951252717165
H3K9ac,-0.006028018243194211
CD4,0.06166633966544579
CD31,-0.1932597175246699
Keratin17,0.053828568109662196
Beta.catenin,-0.015580062362717816
CD68,-0.005016193225305612
CD45,0.2735540141594429
CD138,-0.008389144512858281
Ki67,-0.02556804931663088
CSF.1R,-0.17652811725816567
CD16,0.02450743613721971
CD11c,-0.013059916999593378
HLA_Class_1,0.05788238128214771
