target,imp
CD11c,0.14676429597305016
phospho.S6,-0.006072244789895502
Beta.catenin,0.011443414215984377
CD3,-0.00865651052260878
H3K9ac,-0.04775516840763236
CD20,-0.049965732468372895
CD8,0.017825021026801283
Keratin6,0.024416685818199883
CD4,0.053486389600194584
CD31,3.8787732490206815e-4
CD16,0.00904326261418469
CD68,-0.01270738662399757
Ki67,-0.011929515141111522
p53,-0.18897562308180219
CD45,-0.011971831387410141
PD.L1,-0.004823532594610965
H3K27me3,0.015458590614208755
CD56,-0.00856254323927942
HLA.DR,0.0014071789337747884
CD63,6.293003549963598e-4
IDO,0.0025725017003021848
CD209,0.00772819450365622
Pan.Keratin,-0.006414347099560009
MPO,0.34696866677982796
CD45RO,-0.01195538493665132
Lag3,-0.01938326515395462
PD1,0.002372662000999069
CSF.1R,-0.0017444859525898694
HLA_Class_1,-0.0021242734345924366
EGFR,-2.8485048380984555e-4
