target,imp
CD63,0.01901859263273558
CD209,-0.0012737855305897812
CD4,0.015360545088214774
CD56,0.003737051706905998
CD45,-0.014771142806886028
phospho.S6,-0.04153512719421619
CD11b,0.013749699301040173
Pan.Keratin,0.002221272207689432
p53,-0.02822870305682456
CD16,-0.010280000426876976
CD8,0.0036461465841473237
CD45RO,0.08520127371988234
Lag3,0.07159590279076716
PD.L1,0.0061980097267794665
CD20,2.3507802256278634
IDO,-0.1117744339717055
CD11c,-0.07635184857701095
EGFR,0.005036111248388058
MPO,-0.016981756761134986
CD31,0.008622791618368854
HLA_Class_1,0.009877288339286618
CD68,0.023430029003218382
CD3,-0.012677009919827448
HLA.DR,-0.0017686191548277903
Beta.catenin,-0.02106283797994146
Ki67,-0.0012043121527561423
Keratin6,-0.0012494425139180309
H3K9ac,7.984715880665976e-4
CSF.1R,-0.043763293531616086
H3K27me3,-0.006951315667032677
