target,imp
HLA_Class_1,0.07226619544151046
H3K9ac,-0.008791307570543298
HLA.DR,0.04494784232108904
CD3,-0.0068367299332533805
p53,0.018981246986818787
CD45RO,0.027515921377896685
Keratin17,0.09440352389216543
Keratin6,-0.017922049991994326
CD11c,0.06830196570688447
EGFR,-8.389365850955421e-4
Pan.Keratin,0.007213081325928058
CD4,-0.04570727997348169
CD8,-0.004081329148324923
CD68,0.02256597021849987
CD138,-0.1194651328143229
CD31,-0.026545694630925994
Beta.catenin,-0.016741549310066727
PD1,-0.0023739828801574163
Lag3,-2.873697066344622e-4
CSF.1R,0.0051198394247753245
OX40,-2.2153274850451486e-4
CD45,9.822441439200573e-4
MPO,0.030778812932936477
CD16,-0.02131502496633697
phospho.S6,-0.07297465337136341
PD.L1,-0.002698794885974009
Ki67,-0.005646754767123759
CD20,-0.027094160610368203
H3K27me3,0.03044543104881188
CD63,0.0389125853332877
IDO,-0.002155963996310306
