target intercept intra juxta.40 para.120 p.intercept p.intra p.juxta.40 p.para.120
CD4 -0.124142422531037 0.61871909601424 0.0477455053250327 -0.00526444787265229 0.00137398955544722 2.12125810741995e-116 0.23269874334292 0.95860993199414
CD31 -0.13266900234568 0.0988017301760845 0.0560771409239027 -0.0374591193243171 6.92407302111294e-07 0.126141809730573 0.59148312093304 0.797521144064274
CD209 -0.013322209574738 0.099286205088483 0.543881716192872 0.213271758506175 0.250135980304229 0.072447987803365 2.03445127066283e-18 0.0492050458902633
CD68 -0.0948585760430561 0.755112294553729 -0.167049753221469 0.0916662070272942 0.0086694735244853 1.20367603792653e-61 0.00903746168548493 0.418532754119609
Keratin17 -0.0370169725436479 0.731496879641461 0.155524951924626 0.325539419225285 0.371655808093313 1.40567550672958e-19 0.0832565730576747 0.000840789317822647
Beta.catenin 0.00285484944416867 0.829465705504153 -0.0386544514625098 0.262864706893188 0.889988589083226 1.65203531784493e-41 0.623721997401069 0.0010931229497704
CD45 0.00798615326896006 0.811625615070603 0.198591180463577 -0.00399921347481279 0.836809964310407 7.54862712691123e-132 3.29656892973345e-08 0.942775117820405
phospho.S6 -0.0148619057390391 0.464815974174542 0.200842462280442 0.423816181938264 0.712302693181611 1.05425518351075e-07 0.0237801467753273 1.18176142701837e-06
PD.L1 -0.301023709586065 -0.00860054029052565 -0.0334149873563099 0.00737766248453592 1.35453480953261e-09 0.815845347878121 0.698768166782577 0.962521937118281
CD16 -0.0689382455837549 0.728402069475618 -0.11515352739126 0.0978080355400519 0.00220918309136539 1.58459362197592e-88 0.0239542669611652 0.129558071082803
CSF.1R -0.0450384538258557 0.316007972492401 0.318185956128882 0.213563427720323 0.229806065122212 5.39641888210734e-15 8.13282601097878e-06 0.0400040340386584
CD63 0.00339104781489676 0.957881966830602 -0.0172037512315216 0.0689988440290106 0.829270338379812 2.25287125842789e-180 0.714751615363322 0.140754614925075
CD11c -0.0352880657022264 0.19158208633754 0.665220304418903 0.0428974308042626 0.543879872000533 0.000369051637931774 2.36364099314646e-14 0.784405089018679
HLA.DR -0.1137285977694 0.876710399244619 0.0267283456050774 -0.080337608235171 0.229166016574308 8.97145913796134e-34 0.753888801920966 0.529986853068213
H3K9ac 0.00993499260690932 0.815954773094567 0.146265600560648 0.153227827173353 0.617298224520681 5.82331798792718e-83 0.00484396415448775 0.0125841408695251
EGFR -0.199042432121882 0.549644979129141 0.301805278636214 0.336811425788634 0.0115355125592855 1.13263470928192e-27 5.23883502562648e-06 1.1787231956008e-06
MPO 0.00693185299808287 0.955836543303947 -0.0610633867717548 0.00656014131623971 0.81350956827923 6.18844322406899e-197 0.115331049894773 0.879425271364578
CD56 -0.00064398000545474 0.029956912273514 0.509950489156345 0.328289410106147 0.978019903499993 0.41798497757224 1.56994223089104e-21 0.00135756726596161
CD8 -0.232252257041998 0.336545319474583 -0.0178519081018619 0.0522162923304123 0.0116594534805822 0.0391758204105997 0.873421419973109 0.753988185255458
CD138 -0.0904760459702092 0.168363026678359 -0.0109338458710558 0.439811006117364 0.00474588071886327 2.92884657069158e-05 0.881933390343128 3.28766512709005e-06
CD45RO 0.00870350058053335 0.880353557389509 0.117138558570952 0.0240296992512862 0.781943934988789 2.94882067873287e-150 0.000305893037680621 0.673332055042541
CD11b -0.02173494703344 0.872090137197182 0.051188297652396 0.0454637233364791 0.489862001496823 2.41199525653771e-172 0.174871758844945 0.287160700703407
Pan.Keratin -0.344523193961023 0.17596560778679 0.24481452070344 -0.126268477561354 0.00247407344588406 0.0105893696167003 0.101338192967958 0.520794250525865
Ki67 0.0362515963102144 0.279268800961615 0.0619670367691217 0.328500468334987 0.440183581109028 0.0100999973603463 0.473939274141509 0.00452475690989145
Keratin6 -0.177258420146337 0.515523132730718 0.363233643846805 0.246760643846399 0.102022107681053 2.52825810717945e-32 4.85391318228881e-10 0.00106569384457187
PD1 -0.159797170389745 -0.179320681991105 0.126220911201786 0.079475071916036 1.52237753984685e-07 0.134868723180294 0.0151607639919276 0.596341338224335
CD3 -0.0628549755357543 0.987259922304533 -0.0625327626685282 -0.0770697944597772 0.317175525418748 1.65128040428617e-85 0.341104800813367 0.555265122447037
p53 0.00787653343314798 0.313516743970987 0.409773365123741 0.315788241719009 0.792132080925187 0.00182469951561511 0.00025812472619133 0.00537023086632238
H3K27me3 -0.0670924614120006 0.817409027379466 0.096552069472522 0.0349245332949668 0.477620662124592 8.0451880309969e-76 0.123450390975184 0.663863773095102
HLA_Class_1 0.0700791404122183 0.668837439984745 -0.00815189558165339 0.472684947094523 0.0278768968489942 2.92482510147741e-32 0.891314156326537 7.75860732790128e-15
