target,imp
Ki67,-6.85607231037373e-4
CD138,-0.00264008061423889
CD209,-0.023021565142457748
H3K9ac,-5.474755748513603e-4
HLA.DR,-0.018742653328914293
CD4,-0.004812774952221156
CD31,-0.00794205995719702
CD3,-0.03460304373207397
CD56,-2.763495361407184e-4
MPO,0.01051402535516466
Pan.Keratin,0.025656358227534155
HLA_Class_1,0.0049023307107545775
CD8,0.016709718855968322
CD68,0.0037273161043379884
CD63,-0.0016702031181419703
phospho.S6,8.196261372145347e-4
CD11b,-0.011608201297083056
CSF.1R,0.015067464472697514
CD45RO,0.02208360082846173
PD1,-0.10671902946108783
PD.L1,-0.006058946786850089
Keratin17,-0.0024810534266416417
CD16,0.00869362288272677
p53,9.692710861608977e-4
EGFR,-4.0043661053852214e-4
Keratin6,-0.0010929572652659523
CD45,-0.006734371213046247
H3K27me3,-8.177196838274685e-4
Beta.catenin,-8.223684374905233e-4
