target,imp
Beta.catenin,-0.002708834769150679
IDO,-0.10694558557246236
CD31,0.07858497710010723
CD63,0.020739472833381643
CSF.1R,0.03611686946416156
H3K9ac,0.004212072816185556
phospho.S6,0.008117084480422938
Keratin6,-9.449038242513022e-4
CD11b,-0.004901208872451232
CD4,-0.18524372080888077
HLA.DR,0.015499870646471037
CD68,0.003744762745898538
Keratin17,0.002198963058956588
CD138,0.001937154940258129
MPO,0.007961692317600227
CD16,0.014599205760061133
CD11c,-0.0378215992802771
PD1,0.10229716481909046
p53,0.010811356937825903
OX40,0.012767191145981986
CD163,0.00634747038554763
EGFR,0.0012565801236030085
CD3,0.24107218915550568
CD45,-0.06778063827739889
Ki67,0.00680599372183612
HLA_Class_1,0.0038832363093519087
H3K27me3,0.0072975762316961675
Pan.Keratin,0.005319792029143321
