target,imp
CD63,-0.011891386637409886
Keratin17,0.0046280898876235365
Beta.catenin,0.012740221157805641
CD8,0.8199201469397435
CD3,-0.09479534952703439
phospho.S6,0.008508833828115311
CD45RO,-0.05678179818505536
p53,-0.017492348208937303
CD16,-0.018983660255157953
H3K9ac,0.00655977125369967
CD11b,0.14244211224292358
CD4,0.0213134881579923
MPO,-0.0034492077093191695
Pan.Keratin,-0.005475450930502013
PD1,-0.02740573661220335
CD138,0.0197366081284107
CD11c,0.02415581296924074
OX40,0.0027107484785193177
Ki67,0.003449451005031871
HLA.DR,0.02176632183684799
PD.L1,-0.0038970323203384115
EGFR,-0.0022842899879255653
CD68,-0.00885062222910121
CD31,0.004095349150750247
HLA_Class_1,0.021635748974420776
H3K27me3,0.011380979434868817
CD45,-0.03086174613043748
Keratin6,-0.0043712438487964215
