target,imp
PD1,0.021441117643611618
CD8,-0.34671900648244747
Keratin17,-0.017905770826345594
p53,-0.07049475601498181
CD45,-0.09826265743035398
Beta.catenin,0.007085152946888771
MPO,0.16873143855582554
EGFR,-0.01182814777451565
CD68,0.01663034936247365
CD31,-0.02825132242856968
HLA.DR,0.03278416972616859
CD4,-0.04352188916752442
CD11c,-0.03286946060771522
CSF.1R,-0.09238573673938485
CD45RO,0.03968250844955156
Pan.Keratin,0.08030571807228219
CD11b,0.15664881203232467
CD16,0.021979623832143313
CD63,0.022297504591669848
phospho.S6,0.06045499080499288
H3K9ac,0.08315245353020992
CD3,0.12832623265155205
Ki67,-0.03767975627346101
PD.L1,0.03528178099594463
Keratin6,0.008249757643202753
OX40,4.949536337771892e-4
HLA_Class_1,0.04250418062518377
CD138,-5.462870020470993e-4
