target,imp
Keratin6,0.027557493720474203
p53,-0.024981316619384193
MPO,0.15335472951374837
CD138,-0.04895278334615426
phospho.S6,-0.07477540715634635
Pan.Keratin,-0.1917518465093266
Ki67,0.34418993093077843
CSF.1R,0.1389858993685662
PD1,0.2928251397233692
CD4,-0.09536558644158691
HLA.DR,-0.14196002688671222
CD31,-0.449520759877576
EGFR,0.0913845326401913
Beta.catenin,-0.025712069307825065
OX40,0.13500343727984826
CD11b,-0.6927229148451164
H3K27me3,0.4617758794311438
PD.L1,-0.05766984116675786
CD68,-0.07711187819082571
CD8,-0.7859812283758346
Keratin17,-0.021931149802009862
CD16,0.011068537411142108
CD45RO,0.2634971374543063
CD11c,-0.11448559691241907
CD45,-0.16240226578909525
CD3,0.29752448364609524
HLA_Class_1,0.8339107118229285
CD63,0.2906370085742712
