target,imp
Beta.catenin,-0.0061591672383606985
HLA.DR,-0.1274851834793551
Pan.Keratin,0.011572208483292773
Ki67,-0.002049235363164724
Keratin17,0.13769133027153033
CD45RO,-0.0538825294774673
phospho.S6,0.02723192146476037
p53,0.001288338933904846
PD.L1,0.03854895565797648
PD1,0.013632743740280869
CSF.1R,0.05457019198671427
MPO,-0.007665573635243603
CD16,0.004790533742547058
CD138,-0.01144379148365651
CD31,-0.0017531654759921694
CD11c,5.73278766284369e-4
Keratin6,-0.01565909972410308
CD68,0.017256172963669582
CD45,0.033060478440289524
H3K9ac,-0.0015807368796106646
CD63,-0.03263890113313643
EGFR,0.01688594152614099
H3K27me3,-0.013066800517435785
