target,imp
Beta.catenin,0.003140889205440117
EGFR,0.0010365594247931417
Keratin17,0.40793923551997346
HLA.DR,-0.10741079032904444
Keratin6,-0.028983182287270485
CD31,-0.02233903217433426
CD68,0.00970849648872326
CSF.1R,0.045563940130110905
Pan.Keratin,-0.011122691952276156
CD45RO,-0.04878385196483074
PD.L1,0.0709523713508931
CD63,-0.008571258074118487
Ki67,-0.008129658168864934
CD45,-0.07329371571294982
CD11c,0.017965561029364464
CD16,0.01635196195945525
PD1,-0.054410187912137996
H3K9ac,0.0026212196901888875
p53,-0.0015818301667210016
HLA_Class_1,0.011494618304690887
H3K27me3,0.00949368844799257
CD138,0.0026594831902095315
MPO,0.02447402491232872
