target,imp
Ki67,-0.0014510057563316967
Lag3,9.458576862741362e-5
CD56,4.652597259259057e-5
CSF.1R,8.731864130038734e-4
H3K27me3,0.005046413931391146
CD11b,-0.002879744261454496
CD3,0.007602456368474015
CD45,-0.0024508145941950213
HLA_Class_1,-0.004403817931740698
Keratin6,0.05786298834566674
p53,-0.003255102821487755
Pan.Keratin,-0.04871300377226158
EGFR,0.0015644403228272606
CD20,0.007502214400981119
CD209,-4.391604949023351e-4
PD1,-0.0020760321880701448
H3K9ac,-0.01032019047519245
CD63,-0.008424194945324396
Beta.catenin,-0.0077225771969468325
HLA.DR,-0.003111941922149216
CD138,-2.3487823950729592e-5
CD68,-4.156194847771717e-4
CD163,0.001501751899892083
CD45RO,0.010227284783612645
CD11c,-0.006198562421578329
IDO,-0.004800296241436414
CD16,-0.013653826902894331
CD31,0.0028972186013199773
CD8,-0.012188260083483105
PD.L1,0.12144346051135169
MPO,0.0032297610726454468
phospho.S6,0.024745004821619454
FoxP3,-0.012187478588852673
Keratin17,-0.0020721530312315076
CD4,-0.005712801654332107
