target,imp
CD16,0.00822547638066239
H3K27me3,0.0010807643761730865
CD63,0.05408185730735016
IDO,-0.02856038829477897
CSF.1R,-0.05027396120504329
CD56,0.03884706461783559
Ki67,0.0016330261079573573
Keratin6,0.002112674211489157
CD3,0.02186791690462327
Keratin17,-0.003837835028620581
CD138,-4.973984968466307e-4
OX40,0.009133146116366585
CD45,-0.013151889279728537
CD8,-0.0054324430016356945
FoxP3,0.03738343872515798
CD45RO,-0.022660881856070104
MPO,-0.042261506379246444
Lag3,-0.07474619539689394
EGFR,-0.016425978688304227
HLA_Class_1,0.004284857852889905
Beta.catenin,-0.0017290846155532565
CD209,-0.01599462582594424
CD20,0.08331079598915217
CD4,-0.020558695850574463
CD163,-0.013983719552923622
H3K9ac,-0.010981141123485996
CD68,-0.0066429955610107635
HLA.DR,0.008945648739005321
p53,-0.003513646355255453
PD1,0.022672214569164045
CD31,-0.010494120198083165
Pan.Keratin,0.016581767695158924
PD.L1,-0.007050999503627973
phospho.S6,-0.003604759475639881
CD11c,0.009816800012895222
