target,imp
CD11c,0.005028789784431776
CD45,-0.02442914191911578
FoxP3,-0.02432154351429618
CSF.1R,0.07424115884558362
CD11b,-0.009211621487171348
phospho.S6,-0.003313547341399647
MPO,0.015247048536628333
p53,0.012151247971577331
CD163,7.908085665204736e-4
CD3,0.08579518577469436
H3K9ac,-0.0022025366168110655
CD16,-7.948012046748342e-4
IDO,-0.005185144229253731
CD20,-0.5188036645609317
CD68,-0.009726427286342397
CD45RO,0.00459346615694535
PD1,-0.005608146217156488
Ki67,-9.34916267266242e-4
HLA.DR,0.013955440946312986
Keratin6,-3.476371744276324e-4
OX40,-7.157831836372484e-4
HLA_Class_1,-0.004923185564223342
Keratin17,0.0010382771354237174
EGFR,0.0025588785326043986
PD.L1,0.0037460855136948524
CD209,1.080134525065641
CD4,0.015913796916882925
CD63,-0.0068471770967322544
CD56,0.13314124982450887
H3K27me3,-0.0011763389373456096
CD8,-0.028409315930554385
CD138,-0.0016256869083405385
Beta.catenin,3.0185314532360724e-4
Pan.Keratin,-0.0021938515110377444
Lag3,0.01595429659422733
