target,imp
CD11b,-6.240285141768212e-4
HLA_Class_1,0.006606202446653624
Pan.Keratin,-0.009371792473678166
MPO,-0.0023813406616854816
CD138,-0.0025894453272498797
CD8,-0.005673306312172496
CD45,0.001879921589097323
Keratin17,-3.204106667212994e-4
H3K9ac,6.75632782593583e-4
phospho.S6,-0.002583829742587467
CD209,0.08255921196030433
H3K27me3,-0.0021520279421297596
EGFR,-0.009695474621845864
CD63,-0.003164768409732897
CD45RO,0.015605665631101278
CD3,0.012211771569619207
CD163,0.0015081118021099322
CD56,-8.096874647549707e-4
Keratin6,0.019619701642169918
CD20,-0.05261668162820992
IDO,-3.246593584764514e-4
Beta.catenin,2.648192610488852e-4
PD1,-0.009899231203860935
Ki67,-0.005380746319207426
PD.L1,0.005785716808760317
CD16,0.002943181989044966
CSF.1R,-0.0067773333908517685
OX40,7.228318767306063e-4
CD11c,-0.0017485007466814541
CD4,-0.016231001754313162
CD31,-0.0060396373531031574
Lag3,-0.003918559605594223
p53,0.0728383523222165
CD68,-0.0013760216369295823
HLA.DR,-7.613118024593385e-4
