target,imp
Keratin6,-6.098678822233931e-4
CD163,-1.6539559861513252e-4
CD138,-6.153204074200258e-4
HLA_Class_1,2.959414485648667e-4
CD11c,-0.001782578113965452
HLA.DR,-0.005420220497974337
CD20,0.03467105181465632
CD31,-0.00184370867796418
H3K9ac,-0.0087514746630161
p53,-0.005284230607912951
CD63,-0.008638517416283124
CD45,0.005802126756582354
EGFR,0.0015775012566609024
CD45RO,-0.0078033249696969
FoxP3,0.0024150327437666794
CD4,-0.0019822595168953816
Beta.catenin,-0.003206849385258736
OX40,-2.0158835334319555e-4
H3K27me3,0.010850253098789836
Keratin17,7.072953668483314e-4
Ki67,0.0034114525845119303
MPO,-0.0015258722105381606
CSF.1R,-0.004295071149268386
CD56,-0.0027229460484663962
CD11b,0.001917915679274504
CD3,0.005559902914804554
Pan.Keratin,-5.463430927451778e-4
CD16,0.005108919676128841
CD68,0.002175629035594184
CD209,-0.0036999888474586024
PD1,1.6038972707442984e-4
phospho.S6,0.002471749013699994
IDO,0.001938113630978143
PD.L1,-0.004492351846448513
CD8,-0.004124422534263308
