target,imp
EGFR,-0.00684017733403422
CD63,6.016344135716078e-4
CD11b,-0.012669643319311327
Beta.catenin,-0.04953821822428039
FoxP3,-0.009606901561698276
CD138,9.454399016745593e-4
CD45RO,-0.02572870593473301
CD3,0.01682016489972556
CD8,-0.005322574478606489
CD4,0.028367178202730072
PD.L1,0.006467530354522751
CD209,-0.002598600531640782
IDO,-0.13929225823469826
HLA.DR,-0.021380590963279763
phospho.S6,0.05942880051078912
CD68,-0.02707060439690759
CSF.1R,0.003821770996561318
MPO,-0.043438287263826515
Lag3,-2.0507015884044678e-4
H3K27me3,-0.07559277245407767
CD45,-0.04631865261968869
HLA_Class_1,0.015824567817264917
CD11c,0.009027081591711289
Keratin17,0.05410084382698975
Keratin6,0.035894621328091715
OX40,0.004417873884397846
Pan.Keratin,-0.015011108507819402
H3K9ac,0.05128841985138732
CD20,-0.0025203743626332695
CD16,-0.011231648943597433
PD1,-0.013778010518148006
CD31,-0.011694683329838775
