target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
OX40 0.0747145834896034 0 0.0751264241319995 0 0.501754081504511 NaN
EGFR 0.146495056492664 1.8481150635365 0.141995176778533 11.2724077044605 0.462038396145691 0.0728677876541496
FoxP3 0.0961062355921972 0 0.0964401023780199 0.0457898422744207 0.501196073499037 0.171718198068957
CD138 0.741747572787432 18.1834807374517 0.737613063431368 19.153436938441 0.48376778133744 0.426982533445217
CD3 0.316301622944132 80.0901525855784 0.317592936160839 79.9965546531472 0.510235208630239 0.507880068820443
CD20 0.745570852558545 27.79289792891 0.610762688004802 47.2324076884156 0.0258070619167925 0.0111787136051363
CD45 0.238288439553272 91.3230260015634 0.234609871971018 91.5476792505243 0.389252207927617 0.384099805491074
phospho.S6 0.697734925810971 33.7338095852051 0.65601390347844 41.0650945292323 0.116985239906712 0.0348430605414407
Lag3 0.44920308706774 1.58610283571138 0.459290823947972 2.26898300468772 0.508218416383778 0.404140535966908
PD1 0.245369534818917 2.43016832939309 0.248225913782995 3.47849739009584 0.510336676092495 0.295354750725574
CD68 0.774247157941783 17.803157485963 0.802593070145335 18.8493464296776 0.662097274710984 0.433388856542196
IDO 0.0775990236210526 0.171704517237643 0.0781259101401321 0.268240299745828 0.503718526916983 0.382943935517682
Ki67 0.239462976516013 2.48221403104119 0.23966589275072 3.35611638611076 0.501192806894701 0.289448183918248
H3K9ac 0.495912607072684 66.7963345100811 0.489604330837675 67.5820634520249 0.363046602692709 0.39643517325132
Beta.catenin 0.631731646618863 42.9439286148602 0.585622124696481 51.1980895968691 0.0338088758749955 0.00606674136131313
MPO 0.176747326057313 0 0.179163365003006 0 0.506705181012668 NaN
CD4 0.458143791251708 67.6026704590714 0.455263161770009 67.8086344938796 0.482383061405438 0.48676798062549
CD31 0.410104908219925 18.2631513970379 0.407382168264957 19.624733067011 0.48601234993431 0.446305144783437
CD209 0.907645788620861 21.0980228149377 0.905182565552481 21.0429404819165 0.494943113812134 0.501586578938614
CSF.1R 0.0979245540606653 0.124061487775668 0.0980344837510771 0.647567092756935 0.500928234552623 0.213260436219698
Pan.Keratin 0.325043879807884 81.3279211352575 0.325500514899983 81.2723251427259 0.505692592158628 0.506494682754787
Keratin17 0.0415213124786538 0.00653110828574333 0.0421365477293927 0.04423027819206 0.507562106413613 0.210036949948881
HLA.DR 0.50425507254863 64.4743678533046 0.491791403642269 66.3477831776143 0.340294936033329 0.349964923051136
Keratin6 0.171835956122318 65.0654697252576 0.172168012972901 65.1196789562968 0.506411897228916 0.497775656871548
PD.L1 0.0969848251809461 2.12520921038379 0.100310022918875 2.04850463524581 0.53261683072852 0.51240944467865
CD11c 0.825868617224074 31.304224347161 0.799808835311574 34.8338010410159 0.362642511132559 0.335378144868322
CD16 0.347054845226569 21.9791968483011 0.345568890915918 21.7861644024025 0.48295916110048 0.5136955870405
CD8 0.527391406417121 51.7622331847976 0.52613045865507 51.5755011449925 0.488286074218578 0.51081619075264
CD63 0.751056934043066 1.12421640452025 0.743831937184953 1.73823963711833 0.481710423049035 0.237237651824234
CD11b 0.371634005278179 5.12084125001968 0.373236923006791 5.86822000830149 0.505367885432167 0.446517010503195
H3K27me3 0.513423142154504 55.9851336161855 0.511573430599461 56.3112995423258 0.474247742238387 0.473779485052325
HLA_Class_1 0.344833949065615 81.0528370582766 0.323514200193807 83.3514731439242 0.114506073565054 0.163740380843619
CD45RO 0.373432907306813 74.4993621646969 0.375212401885205 74.3425112622559 0.517553426840629 0.510539697248811
