target,imp
CD11c,-0.008697101775116452
PD.L1,-0.002549364397055549
EGFR,0.015634624685095792
H3K9ac,-0.027541118607925887
Pan.Keratin,-0.01608862137215934
HLA.DR,0.008047974428117805
CD31,-2.726821707490537e-4
Ki67,-0.004971596225276081
IDO,0.14247119992027604
H3K27me3,-0.004670864129255394
CD138,0.03051534026478207
CD45,0.03294902203900448
HLA_Class_1,0.01696415420642786
CD4,-0.17812782980589745
Keratin6,0.02250390253203631
OX40,0.0014049287485417557
MPO,0.02469738166845465
CD11b,-0.015364057136554919
CD3,0.08256814052937893
CSF.1R,-0.03528122359275727
CD68,0.015683958951529898
p53,0.016840093932712782
CD163,-0.012434620993627013
CD8,-0.10962165859491044
Beta.catenin,-0.015116521427472853
phospho.S6,0.018086209343305643
CD63,-0.045377830010962794
CD45RO,0.012006486718387277
CD16,-0.014612955509224913
