target,imp
Lag3,-2.476233930748326e-4
Ki67,-0.0011680812095547237
Keratin6,-7.185024364336884e-5
Pan.Keratin,0.0019418921376726766
CD56,-0.0012967033329059898
CD163,-0.002181668040924566
IDO,3.1914992912957554e-4
phospho.S6,-0.0014102243481238265
CD63,0.007228322494520982
CD209,-0.030224548447921083
CD20,1.8189137844655434e-4
H3K27me3,0.0036353789832569354
Keratin17,0.002345451027071231
PD1,0.0036904274830665547
CD4,-0.0012551987548392437
FoxP3,-5.726520338468703e-4
H3K9ac,5.995473821742293e-4
CD31,-0.001330190161470922
CD138,0.00754976048358265
CD68,-2.0472510845268835e-4
CD8,-0.0029623583853479957
Beta.catenin,6.43682459430609e-4
CD45,-0.0012386732063981042
CD11b,0.004447062683339132
HLA_Class_1,-1.3124988957765101e-5
MPO,-0.0016119986120879985
CD3,0.003919644376526036
p53,-0.007801962004988723
CD45RO,0.002706664542154829
PD.L1,-0.001108860806682135
OX40,-0.004295124831856608
CD11c,6.548116601771662e-4
HLA.DR,-0.0020567976176686996
CD16,-1.1810053765981401e-4
CSF.1R,-0.0036831410046111964
