target,imp
CD8,-0.005426597530624901
Keratin17,3.4436215833720475e-4
CD4,-0.007401245393050779
CD163,4.4765057666683864e-4
H3K27me3,-0.03324992821757517
CD11c,-0.011796533792927182
Pan.Keratin,0.012543497049948537
CD209,-0.023545386503661905
CSF.1R,-0.008827597371054909
CD11b,8.274484314170288e-4
HLA_Class_1,-0.008579558573784661
CD138,0.006550367137485299
CD20,0.007634736643658057
PD1,-0.006033036879704838
OX40,-0.001791059351166701
Lag3,-0.0030641679173943437
CD45,-0.06354565854727072
CD45RO,0.07588828434900412
MPO,0.0028389319747288504
Keratin6,0.005104282714261354
EGFR,0.002591207000168107
p53,0.0022176260647389263
Ki67,-0.005929188812340021
CD63,-0.051186355381904323
PD.L1,-0.004242178663235846
CD31,-0.0052153173084852405
Beta.catenin,0.0018017850999303606
CD16,0.002904616380252268
CD68,0.01901742350615646
CD56,-0.00472509369893157
CD3,-0.017667097111637945
phospho.S6,-0.007764289633674641
HLA.DR,-0.006158862221490079
H3K9ac,0.0671429831242775
IDO,2.599322751592105e-4
