target,imp
CSF.1R,0.005939415975040806
CD138,0.0658025950967864
Beta.catenin,-0.0327084436457111
H3K27me3,0.010286551255926679
CD45RO,0.03753494242117473
CD45,-0.05316418523740078
CD8,0.0052383659487425386
CD11b,0.0012329497174083904
CD31,-0.022908709796661663
CD11c,0.015092920687237948
Keratin17,-0.04121061261153078
Ki67,-0.05478927906895191
Pan.Keratin,-3.758607673463092e-4
EGFR,-0.010873888316301664
PD.L1,0.0037555173248016668
HLA.DR,-0.014216163179497168
H3K9ac,-0.01131020932438506
MPO,-0.041731210660917846
p53,0.020667420059699432
HLA_Class_1,0.044534963672376304
phospho.S6,-0.008596541244069361
CD4,-0.026767813650617936
CD16,0.02245522400740236
CD68,-0.003870602912929114
Keratin6,0.04738142166920616
CD63,-0.004573732113143233
CD3,-0.016570607875013684
CD209,0.06456531732788286
