target,imp
CSF.1R,70.62769540502057
CD4,65.20832347520843
CD3,41.75686298801462
p53,45.08869330095058
phospho.S6,19.335287990919383
CD16,51.89771303803017
CD45,21.090951612731853
H3K9ac,27.017199427238015
HLA_Class_1,32.03238199806721
IDO,23.076565693888252
H3K27me3,30.311652431529367
CD31,7.658872110605847
HLA.DR,8.402287807909326
EGFR,4.467576351520842
CD11b,5.255985013256762
CD45RO,12.511619615909963
Keratin6,3.2736035043439404
CD138,8.267633266654482
CD20,39.996197507218696
Keratin17,5.907593706424933
CD68,27.92540718249387
CD11c,1.6705812827495055
Pan.Keratin,7.0057709060057345
MPO,3.7612988279286315
CD63,11.607849491946876
Beta.catenin,13.469778274799555
CD8,12.073477605113297
