target,imp
MPO,0.016899669307691417
PD1,-5.854116524157824e-4
Ki67,0.009685524431175598
CD45RO,0.009082935666589792
CD56,-0.006457945866792589
Beta.catenin,0.027608328572483798
CD209,-0.00927154755834296
CD163,0.03744066830975075
Lag3,-0.2613879461734355
Pan.Keratin,0.03678742232549064
OX40,-0.004479093154826075
CD3,-0.00955559304059889
EGFR,-0.03049254727705614
CD68,-0.014927353346776794
CD138,-0.11806744416572029
HLA.DR,3.514581344115084e-4
CSF.1R,0.007656500587130904
CD4,0.00859885729719564
CD16,0.009252400712654076
CD11c,-0.003284935353623357
CD20,-9.006236642356675e-4
p53,-0.009753567233525932
CD45,-0.023570390447569093
Keratin17,0.13680945304664496
CD11b,0.0029368382545699088
H3K9ac,-0.006143432030369477
CD63,-0.0066028984420900055
HLA_Class_1,5.224497832900199e-4
IDO,-0.019444046264048862
H3K27me3,0.027509084666812813
phospho.S6,-0.03292339033078418
CD31,-0.00914974027685594
PD.L1,0.00674918587301532
CD8,0.0015297909083242273
