target,imp
CD45,0.015133167210101195
CD31,-0.0034022611600988085
Keratin17,-8.349866604038047e-4
CD209,-0.0148965940957525
Pan.Keratin,0.021206147993355563
MPO,-0.0026370423369963727
CD45RO,0.02520390924822772
phospho.S6,-0.05312148522024608
HLA_Class_1,0.01639244406639066
Beta.catenin,-0.029654939288232002
Ki67,-0.00534495843059857
PD1,-0.006746641180779368
CD11b,0.009232585310378905
CD11c,-0.006878840716699352
H3K27me3,-0.021223217484919375
CD68,-0.010619889660534383
Keratin6,-0.00363249102884302
CD8,-0.003933998865480444
CD16,-0.06359038096192944
HLA.DR,-0.01281794957495274
PD.L1,0.011857947884170742
IDO,-0.020735153389614833
CD3,-0.027391735442152343
CD4,2.4990249959951457e-4
CD63,-0.005393351314792501
CSF.1R,-0.02025115740804639
H3K9ac,0.039968188783952835
Lag3,-0.014543743358760174
CD163,-0.002608105811514197
CD20,6.887372703334542e-4
