target,imp
H3K9ac,0.08490956751620975
CD45RO,7.843501345931286e-4
Keratin6,-0.028949946246718417
MPO,-0.025329331129785228
CD31,-0.004429696739854223
H3K27me3,0.3333920028932661
HLA_Class_1,0.019673462903259786
CD4,-0.033420966405986026
Beta.catenin,-7.040546945197518e-5
CD68,0.015648912904874836
CD20,-9.06311569701688e-4
CD11c,-0.001105465314964467
Pan.Keratin,0.0026465292414762933
HLA.DR,0.06555079392777177
CD11b,0.008881238969851376
CD163,-0.028072994254585242
CD63,0.008112914700123569
PD.L1,-0.01922226525609561
IDO,-0.010704791404763757
CSF.1R,0.04733012099642865
OX40,-0.018621040932810147
CD8,-0.017901595325851123
Keratin17,-0.0021827008310249846
Lag3,-0.06692748362493552
CD45,0.01842355403450264
CD209,-0.020774592804776188
PD1,0.005084629134563171
CD16,-5.35442624636771e-4
Ki67,-0.19912725832954173
CD3,-0.012860791120749216
