target,imp
HLA.DR,30.19941538846195
H3K27me3,22.691487089249282
CD45RO,56.961096578814434
CSF.1R,28.754911637843662
CD4,56.646541136489425
CD8,13.45339482010934
CD11c,19.338129860352716
EGFR,25.147740498779648
H3K9ac,14.120123122509705
MPO,24.480059385707328
CD56,38.24814929539937
OX40,30.321509238173693
HLA_Class_1,35.4813663288418
IDO,20.384844440976618
CD45,40.172182990572715
CD209,16.36057537286096
Keratin17,3.6990336360970955
CD20,33.44164231568855
p53,27.640665579899153
CD68,1.1403764170283086
phospho.S6,0.2125648546724502
CD16,0
CD31,7.028528147300703
CD163,6.274209784336121
CD138,3.8064600667664017
CD11b,17.25089838091364
Beta.catenin,6.2930535550660665
Ki67,2.8543116492424865
PD1,4.612526772845894
Keratin6,7.467048587609617
PD.L1,13.726809868834506
Lag3,10.261919759651219
CD63,14.766369557234514
Pan.Keratin,6.872253933815713
CD3,42.46109082674136
