target,imp
CD16,-0.004778596471719125
IDO,-4.984272120762058e-4
HLA_Class_1,-0.009363854600126441
H3K9ac,0.0011765681666145423
CD45RO,4.7877287700072516e-4
Ki67,-8.81359728968458e-4
EGFR,-0.010609841617470014
CD56,-0.002801748544424431
phospho.S6,0.01209312332351166
Keratin6,0.0058856614189969625
CD11b,-0.002331098292986515
CD45,-1.517320215635751e-4
PD1,2.830286444880412e-4
CD8,2.950833569756212e-4
Beta.catenin,0.01646996258828026
CD31,-0.0010012974753286193
MPO,-0.004446730483927664
CSF.1R,-0.0026997293432685773
HLA.DR,-0.0014790159610688209
CD163,-2.363690890440864e-4
OX40,8.006435567766936e-4
Keratin17,-0.007707532878865318
CD11c,0.01881431617817307
CD3,0.005106119496549685
Pan.Keratin,-0.007709356301128782
PD.L1,-0.004818361151544805
CD4,0.001014204239528669
Lag3,5.123366850670063e-4
CD209,0.015280154789551649
CD63,0.0017729905436831813
CD20,0.002600046321598361
H3K27me3,-0.008601989209580455
CD68,-0.002529190953575928
CD138,0.0012290428005287716
