target,imp
MPO,0.0212576417577947
phospho.S6,0.03851370608915815
CD63,-0.018392482678118074
CD68,0.013139978222202382
Pan.Keratin,-0.020192374487875687
CD31,0.019824231168037963
PD1,-0.006383476585773252
CD11b,-0.01846229294999799
FoxP3,-0.015034050407536609
CD11c,-0.013339611205776303
Ki67,-0.00873543668031763
CD209,0.005613398751083491
CD45RO,-0.02397151627643634
CD16,-0.02921630350562435
EGFR,0.07360700690412748
CD4,0.039040652897271017
CD3,0.050721522450069
Lag3,0.008980967986208831
IDO,0.037133726313612524
CD56,-0.0026599409321591823
Keratin17,0.019593694768215524
CD138,0.0367595479163313
Beta.catenin,-0.0060506462795812755
PD.L1,0.020765546188752593
CD8,0.008148678072158046
p53,-0.07573986002615854
H3K9ac,0.03593685989682347
CD20,0.009538879485310035
CD45,0.01974337724623684
H3K27me3,-0.08321953843344401
CSF.1R,0.03743345991738097
Keratin6,-0.02231190468770013
HLA.DR,0.03252319043351452
