target,imp
CD45,0.02620874139827972
CD63,-0.01992560057190981
CD8,-0.014802888384059461
CD11c,-0.01072171798852622
H3K27me3,0.043444463408519714
Pan.Keratin,-0.03764788323328514
CD11b,-0.08062764238917544
Ki67,-0.1322302228376917
HLA_Class_1,0.011046026304264704
CD20,-0.023058589175540586
phospho.S6,0.015234576615161238
CD4,4.7777111582133336e-4
PD.L1,-0.09921085493722569
Keratin17,0.015073389611480996
Keratin6,-0.024706484074378466
Lag3,-0.007369777329717249
CD56,0.004460145453409612
CD138,-0.01291809212458532
CSF.1R,0.027573017452227854
PD1,0.10258921462413409
HLA.DR,0.007290504987783396
CD45RO,0.0160588013608083
CD16,0.018722814647713585
CD68,-0.004979593318320667
MPO,-0.00681012267082108
CD3,-0.017417210406094733
CD31,-0.013172738062456358
OX40,0.006064002963257827
Beta.catenin,0.0056415016682506685
IDO,-0.012516902909183291
