target,imp
PD1,0.014477454840609884
PD.L1,0.011875825118297236
CSF.1R,0.1295295901657419
CD8,-0.05535021158266585
H3K9ac,0.2297434801112241
EGFR,-0.13590400318889984
CD4,0.04934987444515512
CD209,-0.056881189541470416
MPO,-0.09298408091577215
CD3,-0.08112568656925492
Beta.catenin,0.09649861517755882
FoxP3,0.08238632727958685
HLA.DR,0.1770533781435285
CD16,-0.009969942495916779
CD11c,0.0053127497905133565
CD31,0.1094531262101786
CD68,-0.035499942231793494
IDO,0.13749379176442728
Lag3,-0.017086616583618194
Pan.Keratin,0.014269617935868187
H3K27me3,-0.26417201632494913
CD63,0.16062983467146905
CD45RO,-0.12622691006410677
phospho.S6,0.23670295752918025
CD138,-0.012815108307955552
Ki67,0.01793165365750331
CD11b,-0.0544128197747778
Keratin6,-0.3732713944736565
CD45,0.7856430886874812
