target,imp
CSF.1R,0.0766946386267163
CD56,0.0030759775422684607
phospho.S6,0.004407008762602062
Keratin6,-0.02751934152080051
IDO,0.0036493831753829664
CD8,0.017045608799796337
CD45RO,0.03307130025966792
CD68,-0.0020886617255128402
CD20,-0.021045235163873088
CD3,-0.04598933990162641
PD.L1,-0.008520447233749935
H3K27me3,-0.007686488917026834
H3K9ac,0.002936131528876889
CD16,0.015214227337621844
Pan.Keratin,0.009107091713281666
CD63,-0.012530244076617639
CD45,0.01004964441677116
Ki67,-0.009646337179508238
CD138,8.937441871199588e-4
HLA_Class_1,-0.008564207818561438
FoxP3,0.0028164426807828985
Beta.catenin,0.0015893747259533638
CD11b,-0.011013669889245112
PD1,0.004371811647089301
CD11c,0.004993852841558986
CD31,0.0025592168503257274
MPO,-0.0024856680472866424
CD4,-0.019503536625717344
HLA.DR,-0.010920820773352005
CD209,-0.009324620041633572
EGFR,0.002721393366366758
