target,imp
CD63,-0.04464155797826561
EGFR,-0.018415292294769403
CD4,0.04775308561170895
CD209,-0.4345196837922008
CD138,-0.08441685016056936
CD31,-0.012756922889937109
H3K27me3,0.02779649690959452
CD8,-0.03550426047677237
IDO,0.041039085807320456
CSF.1R,0.22736450915602266
CD45,0.08873107404262301
CD3,0.03850126179199245
CD11b,0.019654744333235653
CD20,0.09055114423792518
HLA_Class_1,0.05054268375298634
CD11c,0.037356576118681456
H3K9ac,-0.018014101810027484
PD1,-0.041985538145450085
Ki67,-0.11471191330294433
phospho.S6,-0.0407045017229133
Lag3,0.028410749465677308
CD16,0.005703095159925159
Pan.Keratin,-0.05436949965334682
Beta.catenin,0.009209779892516565
Keratin6,-0.0021583887635001353
CD45RO,-0.0713801504862464
Keratin17,0.005257140977322744
MPO,0.003050599206844258
p53,-0.020649409046975972
CD68,-0.020495077687569477
PD.L1,-0.03535414834817608
