target,imp
CD68,0.017896371673866148
H3K27me3,0.01918369743066181
EGFR,-0.0052387729917189
CD8,-0.02686472513006142
phospho.S6,-0.0016412443068400684
HLA.DR,-0.02472207067046379
p53,0.006113183807342662
Lag3,-0.015534534336722219
CD11c,0.20573218843250227
CD31,0.006103172481202028
Beta.catenin,0.003312305127947602
Keratin17,0.001999651926006068
Ki67,0.007633988511240068
CD16,0.029955233389087996
CD4,0.12054869174666216
HLA_Class_1,-0.01927513062382806
CD20,-0.0922179994452227
Keratin6,-0.004332770269264038
CD63,-0.12531744302975367
CD138,-0.10452328156738759
Pan.Keratin,0.008270403747450085
CD11b,0.016225785440124305
PD1,0.33395961237190425
CD45,-0.08811551202533331
MPO,0.02037500101557813
CD45RO,0.06136692984308024
H3K9ac,-0.01940405061735231
IDO,0.11451269640650703
CD3,0.012138221935170774
CSF.1R,0.8613206460205965
