target,imp
HLA_Class_1,-0.007987730451692153
H3K27me3,0.003098788639426447
H3K9ac,0.0031040315548161884
CD31,0.008640995975330315
Ki67,-0.0021652417254718493
EGFR,-0.030961209682750544
CD11b,0.08219514811115977
Keratin6,-0.0018764038520108365
CD63,0.02639374239051965
CD138,0.002361826653220496
CD16,0.008059371219283231
Keratin17,0.002885145905895839
phospho.S6,0.0011605438163254285
Beta.catenin,-0.0029888626836846945
PD.L1,0.0073383917556265905
MPO,-4.0136947454116e-4
CD11c,-0.003535059021584103
Pan.Keratin,-0.0015757125703589195
CD45,0.08929052230441509
CD68,-0.002658897014805461
