target,imp
CD8,0.00399298640316813
Pan.Keratin,-0.006548084452835734
CD16,0.008991600835121124
phospho.S6,-0.0021537687639099985
CD4,-0.05680881324513529
Keratin17,-0.014444987195983833
Ki67,-0.008636143102549378
CD68,0.004508664954880354
CD138,1.0928096247877364e-4
EGFR,0.0030025552855799565
HLA.DR,0.008781778805611748
CD63,-1.5789802027356566e-4
MPO,0.0020109982128828745
CD45RO,0.004440829820480997
Beta.catenin,-0.008157615333200302
CD20,0.10540704844713615
CD3,-7.479238151935424e-4
PD.L1,0.0015375594086698987
H3K9ac,-0.005379095817746054
Keratin6,-0.0035946155578517346
CD45,0.0014097074669404068
HLA_Class_1,-0.008312829534936523
H3K27me3,0.004472769223639643
