target,imp
PD.L1,0.0018071922996211116
CD8,9.806671444633176e-4
EGFR,-0.0015333200374488876
CD3,-0.022882881613687633
CD45RO,0.012061890515303469
Pan.Keratin,0.0016179036191278685
CD63,-0.005075704438611821
H3K9ac,-0.0023052930590866864
CD45,0.0052761111045694165
Beta.catenin,0.0029824541329282737
Ki67,-0.005336840995289583
CD4,0.008580656897475598
HLA.DR,-0.00568371332423605
H3K27me3,6.150293369633582e-4
MPO,-0.003786884611933637
Keratin6,0.004980909290266104
CD68,0.004169178784219186
CD20,-0.003220135740333162
phospho.S6,-0.0022437997874491067
CD16,-0.0029387753442431325
CD138,-0.0026524335028727873
Keratin17,-0.008473714613063883
HLA_Class_1,0.002690761646937487
