target,imp
CD45,0.2064891388726869
Beta.catenin,-0.008825607992459588
Keratin17,-0.0029746550124156324
CD11c,-8.753163962947464e-4
H3K9ac,0.006705701897817576
HLA_Class_1,0.009438163265144095
H3K27me3,-0.0012238004766742746
CD16,-0.04018504504492955
Ki67,-0.0019829036514769434
CD138,8.694783348155402e-4
CD45RO,-0.1830146088119129
CD8,-0.11514695180365622
CD3,-0.05283340132755744
Keratin6,-0.029533996126299745
CD63,-7.148758409780371e-4
CD68,0.002931312737959194
CD4,-0.04577540938804872
HLA.DR,-0.07303240115223522
phospho.S6,-0.028115771121457533
EGFR,0.0047136325418580365
Pan.Keratin,-0.0026892607718241816
PD.L1,-0.0029156451706553095
