target,imp
CD4,0.0012071264494222613
CD16,0.003701859778824328
CD56,0
PD1,0.0022352649829759695
CD31,0.08075410302651259
Ki67,0
CD11c,0.031013384443299482
CD138,0.007928758037449165
CD68,0.016774060422488767
CSF.1R,6.658959113481233e-4
CD8,0.007968967084324393
CD3,0.008525396761962102
CD63,0.007169761102847663
CD45RO,0.029865326490029445
CD20,0.03567567060727769
Beta.catenin,0.13136802484898574
HLA.DR,0.020126602813817607
CD45,0.014216688443987968
H3K9ac,0.003845103011704803
Pan.Keratin,0.0021710646644116454
H3K27me3,0.0015522192530031068
phospho.S6,0.016508882576174968
MPO,0.05525099550237361
Keratin6,0.0018570153831623337
HLA_Class_1,0.038973261245748396
