target,imp
CD4,0.36344480211919494
CD16,0.4219558199769077
CD56,0.3171670980651966
PD1,0.2473147170458499
CD31,0.3067880299776507
Ki67,0.220495806134961
CD209,0.5417772534167287
CD11c,0.36971027861360184
CD138,0.3981885001176636
CD68,0.6847016879029227
CD8,0.3908781009206206
CD3,0.4427744525395343
IDO,0.49823611796517747
CD63,0.4015044983384219
CD45RO,0.22696168771565248
CD20,0.5505282344431303
Beta.catenin,0.6434549084978484
HLA.DR,0.5679864997563456
CD11b,0.42996191509137816
CD45,0.29906779305956266
H3K9ac,0.34325120129306996
Pan.Keratin,0.585313583706954
H3K27me3,0.3693911443237923
phospho.S6,0.2870689756920415
MPO,0.4993405240043163
Keratin6,0.2757867539621732
HLA_Class_1,0.5159299253656733
