target,imp
CD4,0.0019296483466118006
CD16,0
CD56,0
PD1,0
CD31,0
Ki67,0
CD209,0
CD11c,0
CD138,0.005722407173784492
CD68,3.985121029166372e-6
CSF.1R,0.0060836148963274266
CD8,6.491208240078094e-7
CD3,3.034074672077125e-4
CD63,0.00134450554386401
CD45RO,0.0011894320467455764
CD20,2.635059619285712e-4
Beta.catenin,0
HLA.DR,8.199609417659059e-4
CD11b,0
CD45,0.0017790806565159728
H3K9ac,0.001497704434312826
Pan.Keratin,0.004222461445957957
H3K27me3,8.800316720055185e-4
phospho.S6,0.0026165737825333425
MPO,0
Keratin6,0
HLA_Class_1,5.780646130196987e-4
