target,imp
FoxP3,207.54809164023663
CD4,85.36154144653956
CD16,52.95667589849181
CD56,5.941807794180509
OX40,12.469943937724548
PD1,40.273043201143494
CD31,15.679903573744419
PD.L1,67.68028618934547
EGFR,22.82271503649375
Ki67,24.197341253768737
CD209,27.71446436268855
CD11c,43.11015104481989
CD138,63.83213407403894
CD163,27.924782735629577
CD68,65.61880713894924
CSF.1R,40.684755412147986
CD8,65.75535936490215
CD3,43.36404180462337
IDO,45.80417264406015
Keratin17,31.479880575059187
CD63,38.19413399156985
CD45RO,83.6382976309191
CD20,80.34989988761264
p53,42.98716650710312
Beta.catenin,88.31066388709189
HLA.DR,43.2382387588376
CD11b,30.267984640673134
CD45,50.141311670394145
H3K9ac,114.8680221986556
Pan.Keratin,70.14039430795572
H3K27me3,111.93001944973516
phospho.S6,60.1682698272837
MPO,17.2749992741213
Keratin6,41.35274545155753
HLA_Class_1,59.04904899047932
