target,imp
FoxP3,1.3232552589186966
Lag3,3.58638733155017
CD4,0.11989054288056071
CD16,0.2640246900870926
CD56,0.5750832822460192
PD1,0.9492380819154371
CD31,0
PD.L1,2.08498437432864
EGFR,1.2360508999432023
Ki67,1.9862719899755805
CD209,0.9298027935075003
CD11c,0.7902470937601698
CD138,0
CD68,1.321713637207198
CSF.1R,0.9351315400247165
CD8,1.699365075458228
CD3,0.8855168515597508
IDO,0
Keratin17,0
CD63,0
CD45RO,3.1275244823461334
CD20,1.1380150429937954
p53,0
Beta.catenin,1.5412730304485023
HLA.DR,4.001404032089034
CD11b,0.9298027935074998
CD45,0.659934068231489
H3K9ac,3.334709414897498
Pan.Keratin,2.5460108643379975
H3K27me3,3.0618323436307127
phospho.S6,3.6316638537802612
MPO,2.171569475356136
Keratin6,4.158770658774339
HLA_Class_1,3.092267357757627
