target,imp
FoxP3,0.14886344343556104
Lag3,0.16461479260741357
CD4,1.4388223791006323
CD16,4.890932548575144
CD56,0.031237960712451773
OX40,0
PD1,0.45036049745752427
CD31,1.1247387517363119
PD.L1,6.909051759557734
EGFR,5.699545149452828
Ki67,5.998148128005348
CD209,0.4316386945956844
CD11c,2.6764422003489856
CD68,6.58039008803772
CSF.1R,3.0928361510507285
CD8,1.9585963210810624
CD3,2.2913774061566485
IDO,2.637796317853672
Keratin17,1.7501257039965852
CD63,3.253069109680114
CD45RO,6.326941669891266
CD20,0.03997916334615027
p53,0.2370229547963093
Beta.catenin,12.162518162146277
HLA.DR,6.785629786119586
CD11b,0.5245256920845958
CD45,6.8704609532421035
H3K9ac,32.17382747423858
Pan.Keratin,6.470897635351789
H3K27me3,70.52152876468236
MPO,2.7912443725036424
Keratin6,5.3321639305923
HLA_Class_1,10.79578762842645
