target,imp
Lag3,116.15757073290779
CD4,120.82740724733829
CD16,387.87389188171466
CD56,193.05163804995044
OX40,163.85607268573432
PD1,141.8266878613232
CD31,335.24677274781806
PD.L1,182.29049727826964
EGFR,93.78564210659175
Ki67,171.59194439008172
CD11c,114.17200036376798
CD138,141.7852049970491
CD163,333.0895627794059
CD68,249.02294387521397
CSF.1R,147.96234832944978
CD8,113.68235774883331
CD3,185.08347542288757
IDO,171.9796848353347
Keratin17,159.08443366711387
CD63,255.42203288401757
CD45RO,182.5643961951254
CD20,156.75096987845075
p53,136.05542980714299
Beta.catenin,121.98193980529933
HLA.DR,108.74664904529523
CD11b,240.11262001344758
CD45,93.612982566335
H3K9ac,142.5519103538188
Pan.Keratin,90.87315951037164
H3K27me3,89.4066499837237
phospho.S6,102.39919245890495
MPO,239.66162026174266
Keratin6,141.45480783072856
HLA_Class_1,160.03153393845926
