target,imp
FoxP3,13.454237019199356
Lag3,18.860886072149206
CD4,16.350490508886693
CD16,14.667114292742344
CD56,17.783199431367834
OX40,15.716527653723045
PD1,18.18306328389093
CD31,12.971452652206455
PD.L1,32.533065693275155
EGFR,23.075047030943985
Ki67,25.34100457494347
CD209,18.482421716777168
CD11c,14.947167234539915
CD138,26.743304460084676
CD163,14.555463194338275
CD68,15.65298204409728
CSF.1R,14.138439014109734
CD8,12.222973389541965
CD3,14.18201724088535
IDO,19.132290849653725
Keratin17,20.236358659185413
CD63,14.835900718491475
CD45RO,15.117905994004163
CD20,16.097577860884044
p53,17.77908986335277
HLA.DR,15.671133381348998
CD11b,15.972265805979085
CD45,16.159842704179578
H3K9ac,10.699304270105152
Pan.Keratin,29.695396042292515
H3K27me3,11.817873457970428
phospho.S6,13.625936546817034
MPO,14.027757635301507
Keratin6,34.45691610611603
HLA_Class_1,11.964613711565754
