target,imp
FoxP3,16.66260550342462
Lag3,17.359831122532377
CD4,20.07869528967565
CD16,13.542772444840814
CD56,15.044571144381727
OX40,11.913527336960529
PD1,16.565966098631378
CD31,14.23958778054652
PD.L1,11.93681610504345
EGFR,11.259018305761975
Ki67,14.291278385446947
CD209,15.239788831402345
CD11c,13.06328166333012
CD138,12.029303426485425
CD163,14.505888454129122
CD68,15.933612857465944
CSF.1R,19.30001549244974
CD8,18.19120033780245
CD3,20.337351511430104
IDO,18.040603870930784
Keratin17,14.745131210172513
CD63,13.50428467951302
CD20,13.539491604672968
p53,13.796402661885958
Beta.catenin,20.24014667977377
HLA.DR,15.356839950061767
CD11b,11.264664660299207
CD45,22.110792941264478
H3K9ac,15.31633597518208
Pan.Keratin,13.87616803473107
H3K27me3,16.379636175068423
phospho.S6,15.124539738074636
MPO,12.639504862830394
Keratin6,12.41775563550151
HLA_Class_1,19.06561200922815
