target,imp
Lag3,7.455626040625845
CD4,17.4534997905361
CD16,12.973748830039598
CD56,0.43922798134679114
OX40,1.0629680822266183
PD1,7.149816309742051
CD31,3.1035900613855296
PD.L1,4.091731236841957
EGFR,1.2216527679884204
Ki67,2.6727068486124166
CD11c,12.485015665009835
CD138,1.6228417635383994
CD163,1.4108760965018547
CD68,6.596881407901044
CD8,6.760235212569393
CD3,6.654941178737568
IDO,2.2908109548493836
Keratin17,2.2070954237447515
CD63,7.390083057266347
CD45RO,17.011059897293332
CD20,0.5741354832043143
p53,4.853384014718017
Beta.catenin,4.370366115123036
HLA.DR,29.96488525755936
CD11b,11.470142324761262
CD45,19.33203731060514
H3K9ac,3.544331855733782
Pan.Keratin,1.8634627255663627
H3K27me3,2.803244559052004
phospho.S6,8.125796292707246
MPO,2.1825295080371374
Keratin6,4.620802387829639
HLA_Class_1,4.674426676365078
