target,imp
Lag3,0.10237976379325751
CD4,0.1310315644653376
CD16,0.11753129274351007
CD56,0.20729533677850284
OX40,0.042751353992383015
PD1,0.07464318382339416
CD31,0.07293784464825119
PD.L1,0.2431202305740995
EGFR,0.17585800956020914
Ki67,0.0339282129888729
CD11c,0.1681772425136737
CD138,0.13523854078821376
CD163,0.1629532644804768
CD68,0.04761040421393847
CSF.1R,0.08610472899753199
CD8,0.05570601072129163
CD3,0.03875075875670831
IDO,0.05949270924568253
CD63,0.1170297211629446
CD45RO,0.11635356316887745
CD20,0.09012776153107334
p53,0.15140349988102597
Beta.catenin,0.1365887984235065
HLA.DR,0.06411551497866425
CD11b,0.1355586699376492
CD45,0.12294426646605856
H3K9ac,0.04954025779198368
Pan.Keratin,0.1367101606906937
H3K27me3,0.06843527485536233
phospho.S6,0.04635533602058566
MPO,0.09939925166833341
Keratin6,0.15136684485726815
HLA_Class_1,0.08668169448933381
