target,imp
Lag3,17.94696624646169
CD4,20.267276181286594
CD16,13.992627597375911
CD56,12.290366617214604
OX40,11.267296920018174
PD1,12.481739524920494
CD31,18.089324135565995
EGFR,32.06921638039856
Ki67,19.12794743323103
CD11c,12.948721713435939
CD138,24.936804380588047
CD163,15.863760530433355
CD68,15.825715771941818
CSF.1R,13.110311905736971
CD8,14.014284781222615
CD3,11.83261170103694
IDO,18.016844325440758
Keratin17,13.155772712394693
CD63,12.19347620784775
CD45RO,14.424338378390225
CD20,15.603477761917858
p53,21.824890282871003
Beta.catenin,26.07101066689308
HLA.DR,13.73771384959199
CD11b,17.82538609950612
CD45,14.408631155597803
H3K9ac,28.787769750270286
Pan.Keratin,20.25013040249084
H3K27me3,16.70809571254278
phospho.S6,15.713761800180365
MPO,17.098069935411047
Keratin6,22.81436413744784
HLA_Class_1,15.927585344235688
