target,imp
FoxP3,7.682271772963238
Lag3,7.954530839560997
CD4,26.00277615816903
CD16,8.01142550832098
CD56,6.324840117675043
OX40,6.738069196621539
PD1,6.9894511728814805
CD31,10.400825662131702
PD.L1,7.654208024548191
EGFR,6.533641362559251
Ki67,6.963419695934261
CD209,18.806643052915618
CD11c,8.672388616371812
CD138,11.323954431897658
CD163,8.567870146286564
CD68,10.789194292150787
CSF.1R,30.929260107277866
CD8,16.51544438788319
CD3,20.39459031612495
IDO,7.331144072715395
Keratin17,9.428919224601488
CD63,7.5248000615215584
CD45RO,12.695466904570713
CD20,7.210393399438425
p53,20.991258315617383
Beta.catenin,7.707230870153539
HLA.DR,10.74765605902311
CD11b,7.283495005638573
CD45,26.256894862864193
H3K9ac,24.862824019260188
Pan.Keratin,16.85354984107173
H3K27me3,10.337253025072771
phospho.S6,9.87354522150661
MPO,7.065420053528096
Keratin6,9.260734933674312
