target,imp
Lag3,0.4289388050083498
CD4,0.5423461405493915
CD16,3.583687045246313
OX40,1.5727096842027641
PD1,0.7399982412402507
CD31,0.764159010487255
PD.L1,6.635961438097687
EGFR,4.243552027525389
CD11c,4.195075640116207
CD138,0.9148956322605474
CD68,0.746522713907018
CSF.1R,1.9199327211819428
CD8,2.369486658460047
CD3,2.205371948533373
IDO,2.6217455668113354
Keratin17,1.5439898575514903
CD63,0.8221092803949392
CD45RO,3.5550696485230002
CD20,0.24694369489893822
p53,8.684676160365893
Beta.catenin,5.309386600397686
HLA.DR,2.798496058054565
CD11b,1.9709496603829633
CD45,1.725226744197022
H3K9ac,3.9674711158327183
Pan.Keratin,3.2591308926342286
H3K27me3,5.180737442955225
phospho.S6,5.713261406157751
MPO,0.856678546017567
Keratin6,3.224130621592402
HLA_Class_1,2.782327490311841
