target,imp
CD4,4.356385382911095
CD16,3.5906103021870006
CD56,2.260097187934156
PD1,2.5520804356431857
CD31,2.2559937513071486
PD.L1,1.556256109513625
EGFR,3.920662100740373
CD209,3.7603687683927722
CD11c,2.332760557520317
CD138,2.2745436386894147
CD68,2.429987608272792
CSF.1R,4.036199125371213
CD8,3.967942917904929
CD3,2.585675925966592
IDO,4.084865190569095
Keratin17,4.423212679223254
CD63,2.19169103602225
CD45RO,5.296326665455099
p53,2.671758110294249
Beta.catenin,2.268069686942901
HLA.DR,5.064460488261132
CD11b,5.047533429358722
CD45,2.967279180360307
H3K9ac,1.9935171543719528
Pan.Keratin,4.042966621599726
H3K27me3,5.161682596472851
phospho.S6,3.070323878030607
MPO,3.639423210806752
Keratin6,7.014301385859178
HLA_Class_1,1.7687138727110763
