target,imp
FoxP3,2.1315094408279593
Lag3,2.1411609512587084
CD4,2.2892074791405626
CD16,7.842565290846853
CD56,1.1356319641013028
OX40,1.3876356589614596
PD1,3.0412265999810684
CD31,1.0824452401839009
PD.L1,7.164399006727443
EGFR,43.90561009096581
Ki67,7.112151466740204
CD209,1.8294766987755688
CD11c,4.432769631123723
CD163,1.673048838841128
CD68,7.862056036473333
CSF.1R,14.848111035271648
CD8,1.721478782888853
CD3,2.5795358453478814
IDO,1.3586865651910256
Keratin17,7.2714941441884084
CD63,12.953839158927677
CD45RO,10.627756386451988
CD20,12.304769886123584
p53,41.21956631726609
Beta.catenin,46.78342955375845
HLA.DR,17.73581546303588
CD11b,1.1290200570290845
CD45,18.974067322185412
H3K9ac,13.380369961369517
Pan.Keratin,38.73070131283892
H3K27me3,15.719239463995887
phospho.S6,19.546209403461184
MPO,0.9808930824445201
Keratin6,52.85741075876309
HLA_Class_1,19.14313077428425
