target,imp
FoxP3,12.105897389870801
Lag3,8.073558060439368
CD4,7.987745699081874
CD16,7.090775368153363
CD56,13.17243152330433
OX40,7.4565972648302
PD1,8.93127090189451
CD31,6.857202217866096
PD.L1,8.833491516837201
EGFR,5.95911500487663
Ki67,8.63216270315711
CD209,7.073425606648675
CD11c,10.039149540458418
CD138,8.340543817439277
CD163,6.291280407799478
CD68,9.231862259164984
CSF.1R,8.087186606089032
CD8,6.9044565481679205
CD3,6.1437644106407445
IDO,8.240709779633537
Keratin17,6.758510147226891
CD63,7.026558487131679
CD45RO,7.353897326158077
CD20,8.030019211137768
p53,7.650583448780587
Beta.catenin,8.609538045210725
HLA.DR,7.665472200848292
CD11b,8.776168914777411
CD45,7.417157545596418
Pan.Keratin,8.195991724981063
H3K27me3,12.224822363480628
phospho.S6,22.19974683010909
MPO,7.449454873142453
Keratin6,8.718309383529421
HLA_Class_1,9.72039943937172
