target,imp
FoxP3,0
Lag3,6.223748114044802e-6
CD4,0.05265334684520185
CD16,0.0403667074399817
OX40,0.07687693667128837
PD1,0.01662704804641693
CD31,0
PD.L1,0.08424673378152608
Ki67,0.5436221215511017
CD209,0
CD11c,0.09347876177667887
CD138,0.31369484677377524
CD163,0
CD68,0.38590591549553116
CD8,0.10399377076601118
CD3,0.0606618035783944
IDO,0.006355759000072601
Keratin17,0.24674140215880325
CD63,0.31797548023544214
CD45RO,0.1287519221470348
CD20,0
p53,5.789116522217898e-4
Beta.catenin,0.3944292746878718
HLA.DR,0.307786649163238
CD11b,0.1623320223210594
CD45,0.19178747902491916
H3K9ac,0.29814349939879947
Pan.Keratin,0.380656265427366
H3K27me3,0.2954579618341027
phospho.S6,0.5873964499128144
MPO,0
Keratin6,0.29867423553042266
HLA_Class_1,0.6244686634409523
