target,imp
CD4,2.357074359760882
CD16,3.08526932616262
OX40,1.127640805696752
CD31,2.0462504218035744
PD.L1,6.3114617321930435
EGFR,7.7212594741571
Ki67,3.578970920501574
CD11c,3.2208632763991103
CD138,6.434870428132419
CD163,1.6510940721584548
CD68,2.930084875897517
CSF.1R,3.527152490824505
CD8,1.7119675251413276
CD3,0.7096073740530681
IDO,0.9611459528445532
Keratin17,6.228929089108293
CD63,3.048807369418329
CD45RO,3.456111148544102
p53,4.819737498783402
Beta.catenin,6.083397575394115
HLA.DR,3.8434268989059177
CD11b,1.502132749493783
CD45,4.437530058216621
H3K9ac,7.707456503710825
Pan.Keratin,6.02743791823353
H3K27me3,12.59125982338392
MPO,0.8763623757303608
Keratin6,6.851832884589145
HLA_Class_1,10.311688907001122
