target,imp
CD4,2.302181317234875
CD16,4.046686350715617
OX40,5.946510446490222
CD31,5.268221263162811
PD.L1,3.645263955541001
EGFR,3.7618774079202693
Ki67,3.7823414055970663
CD11c,3.3677662133421773
CD138,7.527668961491916
CD163,4.674953515346749
CD68,4.752713298817236
CSF.1R,4.514454594940627
CD8,2.352117094690511
CD3,2.850634969622437
IDO,3.3267031542692123
Keratin17,7.600712569923672
CD63,4.28769509965076
CD45RO,2.7205811272203038
p53,6.33691145753811
Beta.catenin,3.242092050827102
HLA.DR,3.1417786197612223
CD11b,3.6170426968083906
CD45,2.8918862992960457
H3K9ac,6.821085424644978
Pan.Keratin,5.5063995111527575
H3K27me3,4.814789293790968
MPO,3.024754143601636
Keratin6,7.072646164124917
HLA_Class_1,3.8050554273328174
