target,imp
FoxP3,36.567589224551384
CD4,24.400753543140794
CD16,40.96054365656292
CD56,55.17735340131995
OX40,38.03974025169832
PD1,16.0034989707305
CD31,72.29917248002704
PD.L1,41.573370260894315
EGFR,31.394282224680293
Ki67,41.02148013516372
CD209,42.03502421843668
CD11c,18.462998021530787
CD138,22.34665431369623
CD163,30.472405202565138
CD68,28.43011722712778
CSF.1R,50.4696297146706
CD8,42.98167512587634
CD3,21.80088574162577
IDO,37.50538737693869
Keratin17,57.88987321481554
CD63,37.69183521066097
CD45RO,24.643021296430376
CD20,39.22592969133572
p53,46.9518252189351
Beta.catenin,83.53485411898608
HLA.DR,42.379033976314986
CD11b,24.955510212355094
CD45,38.39642213046325
H3K9ac,63.21888192907356
Pan.Keratin,30.609640890559998
H3K27me3,64.00633426095176
phospho.S6,40.04811316425211
MPO,25.79801323553452
Keratin6,37.7623955933316
HLA_Class_1,26.607644695241248
