target,imp
CD4,1.1384117114232142
CD16,1.7711439955004773
PD1,1.0921764186693206
CD31,1.4642524015794707
EGFR,3.935894649997632
CD11c,1.268877240803013
CD138,3.45371085604588
CD68,1.616104163200057
CSF.1R,1.6261737712558824
CD8,1.7893290926388243
CD3,1.2188928156239482
IDO,0.9173680141617345
Keratin17,1.1747567720949887
CD63,2.1349063101790677
CD45RO,2.2811710755335746
CD20,1.2631594095866463
p53,1.076357721441314
Beta.catenin,1.4328338382941868
HLA.DR,1.3927967023459353
CD11b,1.6524539648902492
CD45,1.876953852929611
H3K9ac,1.3751082202478222
Pan.Keratin,3.7805454031784076
phospho.S6,1.393398839773203
MPO,2.428199646851063
Keratin6,2.6463532470034847
HLA_Class_1,1.7673778556442463
