target,imp
FoxP3,1.4277882889205196
Lag3,2.83369489612097
CD4,2.439063411677661
CD16,3.6572910544887147
CD56,3.2459222713681983
PD1,1.2866059796728837
CD31,4.854521418912769
PD.L1,13.794765886653984
EGFR,24.588904552258278
Ki67,11.064229938952847
CD209,8.526838308770012
CD11c,4.499274103622051
CD138,12.22076959547377
CD68,5.112137102876784
CSF.1R,2.2228568449303747
CD8,2.3350094308626845
CD3,4.492725328798753
IDO,4.881740740542284
Keratin17,13.706823194562542
CD63,7.041875815865117
CD45RO,7.8813679891286395
CD20,13.670458100489459
p53,22.86108603732435
HLA.DR,13.22479625009313
CD11b,1.9099535123965654
CD45,26.143102712610784
H3K9ac,9.809819544619641
Pan.Keratin,56.012227787394686
H3K27me3,10.313464726639252
phospho.S6,12.50889404156435
MPO,4.457244898134278
Keratin6,45.00190812280267
HLA_Class_1,13.91138694126413
