target,imp
Lag3,0
CD4,0.04167430652385276
CD16,1.501366736357901e-4
CD56,0
PD1,0.006737073118041709
CD31,0
PD.L1,0
EGFR,0
Ki67,0
CD209,2.02627337381798
CD11c,0.2890204367639893
CD138,2.176286932160467
CD68,0.8089175084560475
CSF.1R,0
CD8,0.21221175404772183
CD3,0.7876720119587732
IDO,3.0674682439861787
Keratin17,0
CD63,0
CD45RO,0.06716475897145548
CD20,0.02598178297375255
p53,0
Beta.catenin,2.7932521227031724
HLA.DR,0.49270318566397336
CD11b,0
CD45,2.0627114316793675
H3K9ac,6.540797457386206
Pan.Keratin,0.030691828135928682
H3K27me3,1.266933628459596
phospho.S6,0.5199672124706233
MPO,0
Keratin6,2.662664862552933e-4
HLA_Class_1,1.60579609083318
